time,lr,fb,ud,yaw,cx,cy,area
1.161,0,0,30,-30,0,0,0
1.354,0,0,30,-30,0,0,0
1.379,0,0,30,-30,0,0,0
1.402,0,0,30,-30,0,0,0
1.424,0,0,30,-30,0,0,0
1.447,0,-15,-30,30,410,359,44100
1.469,0,-15,-30,18,405,361,39601
1.492,0,0,30,-30,0,0,0
1.52,0,-15,-30,30,409,359,41209
1.551,0,-15,-30,28,407,361,42436
1.583,0,0,30,-30,0,0,0
1.615,0,0,30,-30,0,0,0
1.647,0,0,30,-30,0,0,0
1.677,0,0,30,-30,0,0,0
1.711,0,0,30,-30,0,0,0
1.743,0,0,30,-30,0,0,0
1.779,0,0,30,-30,0,0,0
1.807,0,0,30,-30,0,0,0
1.837,0,0,30,-30,0,0,0
1.886,0,-15,-30,30,407,361,36100
1.918,0,0,30,-30,0,0,0
1.95,0,-15,-30,30,407,362,36100
1.982,0,-15,-30,30,409,361,34969
2.014,0,-15,-30,30,410,360,33856
2.047,0,0,30,-30,0,0,0
2.082,0,0,30,-30,0,0,0
2.113,0,-15,-30,30,409,361,31684
2.145,0,-15,-30,30,409,361,33489
2.176,0,-15,-30,30,409,361,33489
2.209,0,-15,-30,30,409,361,33489
2.24,0,-15,-30,30,409,361,33489
2.287,0,-15,-30,28,407,362,33489
2.321,0,-15,-30,30,409,359,36100
2.352,0,0,30,-30,0,0,0
2.382,0,-15,-30,30,413,362,33856
2.416,0,-15,-30,13,406,360,39601
2.446,0,0,30,-30,0,0,0
2.479,0,-15,-30,30,412,359,43264
2.511,0,0,30,-30,0,0,0
2.543,0,-15,-30,30,411,358,36100
2.574,0,-15,-30,30,415,357,40000
2.605,0,-15,-30,30,418,357,37636
2.639,0,-15,-30,30,421,359,40804
2.687,0,-15,-30,30,419,356,40804
2.718,0,0,30,-30,0,0,0
2.752,0,-15,-30,30,417,355,37249
2.782,0,0,30,-30,0,0,0
2.814,0,-15,-30,30,415,357,36100
2.846,0,-15,-30,30,416,357,38416
2.878,0,-15,-30,30,415,357,37249
2.911,0,-15,-30,30,415,357,36100
2.942,0,-15,-30,24,411,356,33489
2.975,0,-15,-30,30,413,361,37249
3.007,0,0,30,-30,0,0,0
3.038,0,0,30,-30,0,0,0
3.087,0,-15,-30,30,419,359,38416
3.119,0,0,30,-30,0,0,0
3.149,0,0,30,-30,0,0,0
3.182,0,0,30,-30,0,0,0
3.214,0,-15,-30,30,416,356,40000
3.246,0,-15,-30,30,417,357,43264
3.279,0,-15,-30,30,417,356,38416
3.312,0,-15,-30,30,416,357,43264
3.344,0,-15,-30,30,416,356,40804
3.375,0,0,30,-30,0,0,0
3.406,0,0,30,-30,0,0,0
3.453,0,0,30,-30,0,0,0
3.485,0,0,30,-30,0,0,0
3.518,0,0,30,-30,0,0,0
3.549,0,0,30,-30,0,0,0
3.582,0,0,30,-30,0,0,0
3.614,0,-15,-30,30,409,357,40000
3.645,0,-15,-30,30,412,359,41616
3.677,0,-15,-30,30,412,359,40804
3.71,0,-15,-30,30,411,360,40804
3.743,0,-15,-30,15,405,359,37249
3.773,0,-15,-30,30,405,359,37249
3.806,0,0,30,-30,0,0,0
3.854,0,-15,-30,30,404,358,36100
3.886,0,0,30,-30,0,0,0
3.919,0,-15,-30,30,404,358,36100
3.951,0,0,30,-30,0,0,0
3.981,0,0,30,-30,0,0,0
4.014,0,-15,-30,30,409,360,46225
4.046,0,0,30,-30,0,0,0
4.077,0,0,30,-30,0,0,0
